10000291	Anglia Ruskin University 	(3) Biological Sciences 	First degree 	Q01 	0%	4%	7%	60%	30%	0	84%	90%	94%	199	272	 
10000291	Anglia Ruskin University 	(3) Biological Sciences 	First degree 	Q02 	2%	3%	10%	53%	32%	0	79%	85%	90%	199	272	 
10000291	Anglia Ruskin University 	(3) Biological Sciences 	First degree 	Q03 	0%	2%	8%	44%	46%	0	84%	89%	93%	199	272	 
10000291	Anglia Ruskin University 	(3) Biological Sciences 	First degree 	Q04 	1%	4%	6%	50%	40%	0	84%	89%	93%	199	272	 
10000291	Anglia Ruskin University 	(3) Biological Sciences 	First degree 	Q05 	2%	5%	16%	45%	32%	0	70%	77%	83%	199	272	 
10000291	Anglia Ruskin University 	(3) Biological Sciences 	First degree 	Q06 	1%	8%	11%	50%	29%	0	72%	79%	85%	199	272	 
10000291	Anglia Ruskin University 	(3) Biological Sciences 	First degree 	Q07 	5%	13%	13%	46%	24%	1	62%	70%	76%	198	272	 
10000291	Anglia Ruskin University 	(3) Biological Sciences 	First degree 	Q08 	5%	10%	11%	45%	29%	1	67%	74%	80%	198	272	 
10000291	Anglia Ruskin University 	(3) Biological Sciences 	First degree 	Q09 	5%	9%	22%	39%	26%	3	57%	65%	72%	196	272	 
10000291	Anglia Ruskin University 	(3) Biological Sciences 	First degree 	Q10 	2%	4%	15%	51%	27%	1	72%	79%	84%	198	272	 
10000291	Anglia Ruskin University 	(3) Biological Sciences 	First degree 	Q11 	3%	5%	9%	43%	40%	0	77%	84%	89%	199	272	 
10000291	Anglia Ruskin University 	(3) Biological Sciences 	First degree 	Q12 	1%	10%	16%	39%	34%	5	66%	73%	79%	194	272	 
10000291	Anglia Ruskin University 	(3) Biological Sciences 	First degree 	Q13 	2%	5%	9%	45%	39%	0	78%	84%	89%	199	272	 
10000291	Anglia Ruskin University 	(3) Biological Sciences 	First degree 	Q14 	2%	10%	9%	44%	35%	0	72%	79%	85%	199	272	 
10000291	Anglia Ruskin University 	(3) Biological Sciences 	First degree 	Q15 	3%	5%	12%	46%	34%	0	73%	80%	86%	199	272	 
10000291	Anglia Ruskin University 	(3) Biological Sciences 	First degree 	Q16 	2%	9%	9%	49%	31%	0	73%	80%	85%	199	272	 
10000291	Anglia Ruskin University 	(3) Biological Sciences 	First degree 	Q17 	2%	6%	9%	51%	32%	2	76%	83%	88%	197	272	 
10000291	Anglia Ruskin University 	(3) Biological Sciences 	First degree 	Q18 	1%	6%	14%	39%	40%	16	71%	79%	84%	183	272	 
10000291	Anglia Ruskin University 	(3) Biological Sciences 	First degree 	Q19 	1%	6%	13%	49%	32%	0	74%	80%	86%	199	272	 
10000291	Anglia Ruskin University 	(3) Biological Sciences 	First degree 	Q20 	2%	4%	9%	42%	44%	0	80%	86%	90%	199	272	 
10000291	Anglia Ruskin University 	(3) Biological Sciences 	First degree 	Q21 	2%	3%	14%	45%	36%	0	74%	81%	87%	199	272	 
10000291	Anglia Ruskin University 	(3) Biological Sciences 	First degree 	Q22 	3%	3%	9%	48%	38%	1	79%	86%	90%	198	272	 
10000291	Anglia Ruskin University 	(6) Physical Sciences 	First degree 	Q01 	0%	0%	0%	45%	55%	0	83%	100%	100%	27	34	 
10000291	Anglia Ruskin University 	(6) Physical Sciences 	First degree 	Q02 	0%	4%	2%	28%	66%	0	74%	94%	99%	27	34	 
10000291	Anglia Ruskin University 	(6) Physical Sciences 	First degree 	Q03 	0%	0%	0%	23%	77%	0	83%	100%	100%	27	34	 
10000291	Anglia Ruskin University 	(6) Physical Sciences 	First degree 	Q04 	0%	4%	0%	30%	66%	0	77%	96%	99%	27	34	 
10000291	Anglia Ruskin University 	(6) Physical Sciences 	First degree 	Q05 	0%	0%	9%	43%	49%	0	71%	91%	98%	27	34	 
10000291	Anglia Ruskin University 	(6) Physical Sciences 	First degree 	Q06 	0%	0%	0%	38%	62%	0	83%	100%	100%	27	34	 
10000291	Anglia Ruskin University 	(6) Physical Sciences 	First degree 	Q07 	0%	0%	15%	36%	49%	0	64%	85%	95%	27	34	 
10000291	Anglia Ruskin University 	(6) Physical Sciences 	First degree 	Q08 	0%	6%	2%	30%	62%	0	71%	91%	98%	27	34	 
10000291	Anglia Ruskin University 	(6) Physical Sciences 	First degree 	Q09 	4%	4%	11%	19%	62%	0	59%	81%	93%	27	34	 
10000291	Anglia Ruskin University 	(6) Physical Sciences 	First degree 	Q10 	0%	0%	2%	38%	60%	0	80%	98%	100%	27	34	 
10000291	Anglia Ruskin University 	(6) Physical Sciences 	First degree 	Q11 	0%	0%	6%	38%	55%	0	74%	94%	99%	27	34	 
10000291	Anglia Ruskin University 	(6) Physical Sciences 	First degree 	Q12 	0%	0%	6%	30%	64%	0	74%	94%	99%	27	34	 
10000291	Anglia Ruskin University 	(6) Physical Sciences 	First degree 	Q13 	4%	9%	15%	11%	62%	0	50%	72%	87%	27	34	 
10000291	Anglia Ruskin University 	(6) Physical Sciences 	First degree 	Q14 	0%	2%	4%	40%	53%	0	74%	94%	99%	27	34	 
10000291	Anglia Ruskin University 	(6) Physical Sciences 	First degree 	Q15 	0%	6%	2%	57%	34%	0	71%	91%	98%	27	34	 
10000291	Anglia Ruskin University 	(6) Physical Sciences 	First degree 	Q16 	4%	0%	13%	40%	43%	0	61%	83%	94%	27	34	 
10000291	Anglia Ruskin University 	(6) Physical Sciences 	First degree 	Q17 	0%	4%	4%	30%	62%	0	71%	91%	98%	27	34	 
10000291	Anglia Ruskin University 	(6) Physical Sciences 	First degree 	Q18 	0%	0%	0%	21%	79%	0	83%	100%	100%	27	34	 
10000291	Anglia Ruskin University 	(6) Physical Sciences 	First degree 	Q19 	0%	6%	4%	17%	72%	0	69%	89%	97%	27	34	 
10000291	Anglia Ruskin University 	(6) Physical Sciences 	First degree 	Q20 	0%	2%	6%	11%	81%	0	71%	91%	98%	27	34	 
10000291	Anglia Ruskin University 	(6) Physical Sciences 	First degree 	Q21 	0%	6%	6%	15%	72%	0	66%	87%	96%	27	34	 
10000291	Anglia Ruskin University 	(6) Physical Sciences 	First degree 	Q22 	0%	0%	0%	32%	68%	0	83%	100%	100%	27	34	 
10000291	Anglia Ruskin University 	(8) Computer Science 	First degree 	Q01 	2%	4%	6%	59%	29%	0	80%	88%	93%	131	165	 
10000291	Anglia Ruskin University 	(8) Computer Science 	First degree 	Q02 	5%	5%	10%	50%	31%	0	72%	81%	87%	131	165	 
10000291	Anglia Ruskin University 	(8) Computer Science 	First degree 	Q03 	2%	5%	7%	40%	45%	0	78%	86%	91%	131	165	 
10000291	Anglia Ruskin University 	(8) Computer Science 	First degree 	Q04 	0%	6%	7%	48%	40%	0	79%	87%	92%	131	165	 
10000291	Anglia Ruskin University 	(8) Computer Science 	First degree 	Q05 	1%	8%	9%	51%	31%	0	74%	82%	88%	131	165	 
10000291	Anglia Ruskin University 	(8) Computer Science 	First degree 	Q06 	0%	6%	10%	47%	36%	0	75%	83%	89%	131	165	 
10000291	Anglia Ruskin University 	(8) Computer Science 	First degree 	Q07 	3%	12%	17%	39%	29%	1	59%	68%	76%	130	165	 
10000291	Anglia Ruskin University 	(8) Computer Science 	First degree 	Q08 	3%	9%	13%	45%	30%	1	65%	75%	82%	130	165	 
10000291	Anglia Ruskin University 	(8) Computer Science 	First degree 	Q09 	4%	11%	14%	40%	31%	2	62%	71%	79%	129	165	 
10000291	Anglia Ruskin University 	(8) Computer Science 	First degree 	Q10 	4%	6%	7%	48%	34%	0	75%	83%	89%	131	165	 
10000291	Anglia Ruskin University 	(8) Computer Science 	First degree 	Q11 	2%	4%	8%	39%	47%	0	78%	86%	91%	131	165	 
10000291	Anglia Ruskin University 	(8) Computer Science 	First degree 	Q12 	4%	6%	19%	38%	33%	2	62%	71%	79%	129	165	 
10000291	Anglia Ruskin University 	(8) Computer Science 	First degree 	Q13 	3%	10%	7%	40%	39%	0	71%	79%	86%	131	165	 
10000291	Anglia Ruskin University 	(8) Computer Science 	First degree 	Q14 	5%	12%	13%	35%	35%	2	61%	70%	78%	129	165	 
10000291	Anglia Ruskin University 	(8) Computer Science 	First degree 	Q15 	4%	9%	10%	41%	36%	0	68%	77%	84%	131	165	 
10000291	Anglia Ruskin University 	(8) Computer Science 	First degree 	Q16 	3%	6%	7%	44%	39%	5	75%	83%	89%	126	165	 
10000291	Anglia Ruskin University 	(8) Computer Science 	First degree 	Q17 	1%	2%	7%	40%	50%	0	83%	90%	94%	131	165	 
